SMILES,LogKOC
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,5.31
c1c2ccccc2c2ccc3cccc4ccc1c2c34,5.95
[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,3.35
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1.9
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,6.22
CC(=O)Nc1cc2Cc3ccccc3-c2cc1,3.14
NC(=O)c1ccccc1,1.46
Cc1cc(ccc1SC)OP(=S)(OC)OC,3.18
CC1=CC(=O)NC(=S)N1,2.14
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,3.2
Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,6.1
CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,4.14
NC(N)=O,0.15
CC(O)CO,0.36
ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,4.78
"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",3.17
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.35
Nc1ccc(cc1)/N=N/c1ccccc1,2.79
OCCc1ccccc1,1.5
CC(N)=O,0.7
CNC(=O)CSP(=S)(OC)OC,1.2
Nc1[n]c[nH][n]1,1.25
Nc1ccccc1,1.6
CC(N)=S,0.78
COP(=O)(OC=C(Cl)Cl)OC,1.67
O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,2.4
Cc1cc(ccc1)NC(N)=O,1.56
CCO,0.2
CC(O)=O,0.0
OC(=O)c1ccccc1,1.5
CO,0.44
ClC(Cl)Cl,1.6
CCCO,0.48
CCCCCO,0.7
c1ccccc1,1.75
CC(Cl)(Cl)Cl,1.95
ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.21
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.82
CBr,1.34
S=C=S,2.34
BrC(Br)Br,2.06
ClC(Cl)Br,1.78
C=C(Cl)Cl,1.81
C[As](C)(O)=O,3.0
CC(Cl)(Cl)C(O)=O,0.4
[O-][N+](=O)C(Cl)(Cl)Cl,1.79
ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,4.38
CCCCSP(=O)(SCCCC)SCCCC,3.7
CC(Cl)CCl,1.67
ClCC(Cl)Cl,1.89
ClC=C(Cl)Cl,2.0
ClC(Cl)C(Cl)Cl,1.9
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,2.96
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,3.9
C1Cc2cccc3cccc1c23,3.59
CC(=C)[C@H]1Cc2c3O[C@@H]4COc5cc(OC)c(cc5[C@@H]4C(=O)c3ccc2O1)OC,4.0
O=C1c2ccccc2C(=O)c2ccccc12,3.57
O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1,3.14
CCOC(=O)COC(=O)c1ccccc1C(=O)OCC,2.54
CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.14
[Br-].[Br-].C1C[n+]2ccccc2-c2cccc[n+]21,2.7
c1cc2ccccc2c2ccccc21,4.35
c1cccc2c3ccc[n]c3ccc21,4.64
c(c(c(c(c1Br)Br)Br)Br)(c1Br)CC,4.92
O=C1OC(=O)c2ccccc12,1.56
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,3.72
O=C(OCC(=O)OCCCC)c(c(ccc1)C(=O)OCCCC)c1,3.7
S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),2.28
C1c2ccccc2-c2ccccc21,3.7
c1cccc2[nH]c3ccccc3c21,3.4
O=C(O)Cc(c(c(ccc1)cc2)c1)c2,2.2
Clc1c(Cl)cccc1Cl,3.33
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.3
[O-][N+](=O)c1ccc(O)cc1C(F)(F)F,2.11
CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,2.7
O=C(O)c(c(ccc1)C(=O)O)c1,1.07
Cc1cccc2ccccc21,3.36
Oc1cccc2ccccc21,2.72
O=C(c(ccc(N(C)C)c1)c1)c(ccc(N(C)C)c2)c2,2.21
COc1ccccc1OC,2.03
C1CCCC2CCCCC21,3.67
c1cccc2ccccc21,2.96
Cc1cc2ccccc2cc1,3.6
CCN(CC)c1ccccc1,2.08
CN(C)CCN(Cc1ccc[s]1)c1cccc[n]1,2.87
c1c2cc3ccccc3cc2cc2ccccc21,5.81
c1ccccc1-c1ccccc1,3.27
c1cccc2[n]c3ccccc3[n]c21,3.37
CC(=O)c1ccc(cc1)-c1ccccc1,3.22
CC(=O)c1cc2ccccc2cc1,2.93
COC(=O)c1ccccc1,2.1
C=CCN(CC=C)C(=O)CCl,1.3
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O,1.75
OC(=O)COc1cc(Cl)c(Cl)cc1Cl,1.99
O=C(Oc1ccccc1)c1ccccc1,3.16
Cc1ccc(cc1)C(=O)OCC,2.59
C=CCc1ccc2OCOc2c1,2.83
OC(=O)COc1ccc(Cl)cc1Cl,1.66
Nc1ccc(N=Nc2ccccc2)c(N)[n]1,2.32
Cc1cc(Cl)ccc1OCCCC(O)=O,2.73
c1cccc2[s]ccc21,3.48
Cc1ccccc1C,2.25
Clc1ccccc1Cl,2.56
Nc1cc(Cl)c(Cl)cc1,2.29
Oc1cc(Cl)c(Cl)cc1,3.09
Cc1cc(C)c(C)cc1C,3.12
Oc1cc(Cl)c(Cl)cc1Cl,3.36
ClCC(Br)CBr,1.85
Nc1cc(ccc1)C(F)(F)F,2.36
CC(=O)c1ccccc1,1.8
[O-][N+](=O)c1ccccc1,1.94
Nc1cc(ccc1)[N+]([O-])=O,1.73
[O-][N+](=O)c1cc(cc(c1)[N+]([O-])=O)C(O)=O,1.53
[O-][N+](=O)c1cc(Cl)c(Cl)cc1,2.53
O=C(OCC)c(ccc(N(=O)=O)c1)c1,2.48
Oc1ccc(cc1)C(O)=O,1.43
Nc1ccc(cc1)[N+]([O-])=O,1.88
[O-][N+](=O)c1ccc(O)cc1,2.37
C=Cc1ccccc1,2.96
C=Cc1cc[n]cc1,1.18
OCc1ccccc1,1.1
CNc1ccccc1,2.28
COc1ccccc1,1.54
Clc1ccccc1Nc1[n]c(Cl)[n]c(Cl)[n]1,3.0
O=C(Nc1cc(Cl)ccc1)OCC#CCCl,3.06
CN(C)C(=O)Nc1ccccc1,1.4
Brc1ccc(cc1)Oc1ccccc1,4.23
Nc1ccc(Cc2ccc(N)cc2)cc1,1.99
c1ccccc1Oc1ccccc1,3.29
CCOC(=O)Cc1ccccc1,1.89
O=C(OCC(CCCC)CC)CCCCC(=O)OCC(CCCC)CC,4.19
c1ccccc1N=Nc1ccccc1,3.3
CC(=O)OCCc1ccccc1,1.89
OCCc1cccc[n]1,1.45
OC(=O)Cc1ccccc1,1.45
CC(=O)Nc1ccccc1,1.43
CCCCCCCCCc1ccc(O)cc1,3.84
CCCCc1ccccc1,3.39
COc1ccc(N)cc1,1.93
CCCCCCCC(=O)OCC,3.02
Nc1ccc(Br)cc1,1.96
Oc1ccc(Br)cc1,2.41
Cc1ccc(O)cc1,2.7
Clc1ccc(Cl)cc1,2.65
Nc1ccc(Cl)cc1,1.96
ClCC1CO1,1.0
BrCCBr,1.71
ClCCCl,1.52
Oc1cc(Cl)ccc1,2.54
Cc1cc(N)ccc1,1.53
Oc1cc(O)ccc1,0.98
CC1OC(C)OC(C)OC(C)O1,2.38
COCC(OC(=O)C)C,0.36
Cc1cc(C)cc(C)c1,2.82
Clc1cc(Cl)cc(Cl)c1,2.85
Brc1ccccc1,2.49
Cc1ccccc1,2.07
Oc1ccccc1,1.43
CCCCN,1.88
c1cccc[n]1,1.6
OCCNCCO,0.6
ClCCOCCCl,1.88
